Question,Response
안녕하세요,안녕하세요! 무엇을 도와드릴까요?
어떻게 지내세요,저는 잘 지내고 있습니다. 당신은요?
이름이 뭐예요,저는 건강 상담 챗봇입니다.
안녕히 가세요,안녕히 가세요! 건강한 하루 되세요.
감기 증상이 있어요,감기 증상에 대해 더 자세히 말씀해 주시겠어요? 기침이나 열이 있나요?
기침이 나요,기침이 나신다면 충분한 휴식과 수분 섭취가 필요합니다. 또 다른 증상이 있나요?
열이 나요,열이 나신다면 해열제를 드시고 충분한 휴식을 취하세요. 다른 증상이 있으신가요?
복통이 있어요,복통이 있으시다면 어떤 음식이 문제인지 확인해 보세요. 또 다른 증상이 있나요?
두통이 있어요,두통이 있으시다면 충분한 수분 섭취와 휴식을 취하세요. 다른 증상이 있으신가요?
배가 아파요,배가 아프다면 소화가 잘 되는 음식을 드시고, 필요한 경우 진통제를 복용하세요. 또 다른 증상이 있나요?
피곤해요,피로감이 있다면 충분한 수면과 휴식을 취하세요. 다른 증상이 있으신가요?
스트레스를 많이 받아요,스트레스 관리를 위해 명상이나 운동을 시도해 보세요. 또 다른 증상이 있으신가요?
불면증이 있어요,불면증이 있다면 취침 전 휴식을 취하고 카페인을 피하세요. 다른 증상이 있으신가요?
구토가 있어요,구토가 있다면 물을 조금씩 자주 마시고, 음식 섭취를 피하세요. 또 다른 증상이 있나요?
몸살이 있어요,몸살이 있다면 충분한 휴식과 수분 섭취가 필요합니다. 다른 증상이 있으신가요?
어지러워요,어지러움이 있다면 앉거나 누워서 휴식을 취하세요. 또 다른 증상이 있으신가요?
피부 발진이 있어요,피부 발진이 있다면 원인을 확인하고 필요한 경우 피부과를 방문하세요. 다른 증상이 있으신가요?
근육통이 있어요,근육통이 있다면 스트레칭과 따뜻한 찜질을 해보세요. 또 다른 증상이 있으신가요?
관절 통증이 있어요,관절 통증이 있다면 얼음찜질과 휴식을 취하세요. 다른 증상이 있으신가요?
코막힘이 있어요,코막힘이 있다면 따뜻한 증기를 마시고 수분 섭취를 늘리세요. 또 다른 증상이 있으신가요?
목이 아파요,목이 아프다면 따뜻한 차를 마시고 휴식을 취하세요. 다른 증상이 있으신가요?
